"YEAR","COUNTRY","SEX","RATE_PER_100000_N","RATE_PER_100000_NL","RATE_PER_100000_NU"
2019,"Lesotho","FEMALE",17.74029,8.07282,33.82157
2019,"Liberia","FEMALE",4.49109,2.18067,8.26159
2019,"Libya","FEMALE",0.87227,0.44273,1.59997
2019,"Lithuania","FEMALE",2.50114,1.83379,3.32378
2019,"Low-income economies","FEMALE",4.00181,1.90611,7.42905
2019,"Lower-middle-income economies","FEMALE",2.64999,1.60277,4.29601
2019,"Luxembourg","FEMALE",0.50831,0.39018,0.65715
2019,"Madagascar","FEMALE",3.19927,1.47078,6.05105
2019,"Malawi","FEMALE",0.93754,0.34836,1.96422
2019,"Malaysia","FEMALE",1.16562,0.59626,2.09802
2019,"Maldives","FEMALE",1.02576,0.53303,1.78811
2019,"Mali","FEMALE",5.05012,2.4423,9.36214
2019,"Malta","FEMALE",0.71446,0.5509,0.90909
2019,"Mauritania","FEMALE",5.46478,2.35972,10.97477
2019,"Mauritius","FEMALE",1.14317,0.75637,1.65212
2019,"Mexico","FEMALE",5.76687,4.61396,7.16305
2019,"Micronesia (Federated States of)","FEMALE",2.95975,0.93626,5.881
2019,"Mongolia","FEMALE",1.68659,0.87662,3.02573
2019,"Montenegro","FEMALE",1.33824,0.8548,2.00923
2019,"Morocco","FEMALE",0.94877,0.43675,1.85074
2019,"Mozambique","FEMALE",1.60029,0.71965,3.04441
2019,"Myanmar","FEMALE",2.42109,1.24981,4.34461
2019,"Namibia","FEMALE",7.47668,3.21988,14.7145
2019,"Nepal","FEMALE",1.15345,0.562,2.11838
2019,"Netherlands (Kingdom of the)","FEMALE",0.49075,0.38778,0.61115
2019,"New Zealand","FEMALE",0.78595,0.64162,0.96297
2019,"Nicaragua","FEMALE",2.32705,1.30643,3.80995
2019,"Niger","FEMALE",4.91157,1.87035,10.17532
2019,"Nigeria","FEMALE",5.07374,2.89687,8.53787
2019,"North Macedonia","FEMALE",0.78043,0.48455,1.17935
2019,"Norway","FEMALE",0.49214,0.44059,0.54808
2019,"Oman","FEMALE",0.43778,0.21434,0.79455
2019,"Pakistan","FEMALE",3.2686,1.7363,6.48022
2019,"Panama","FEMALE",3.30476,2.17143,4.82882
2019,"Papua New Guinea","FEMALE",5.1178,2.55169,9.28239
2019,"Paraguay","FEMALE",1.8737,0.98515,3.12737
2019,"Peru","FEMALE",3.40385,1.73221,6.03708
2019,"Philippines","FEMALE",2.93345,2.16507,3.88872
2019,"Poland","FEMALE",0.49778,0.38281,0.63597
2019,"Portugal","FEMALE",0.56688,0.45182,0.69954
2019,"Qatar","FEMALE",0.26177,0.13137,0.4711
2019,"Republic of Korea","FEMALE",0.54822,0.34025,0.84886
2019,"Republic of Moldova","FEMALE",2.53301,1.92995,3.31533
2019,"Romania","FEMALE",0.80615,0.59348,1.06406
2019,"Russian Federation","FEMALE",3.69482,2.93521,4.61552
2019,"Rwanda","FEMALE",1.76919,0.7812,3.48498
2019,"Saint Lucia","FEMALE",7.19032,4.93281,10.09927
2019,"Saint Vincent and the Grenadines","FEMALE",11.91848,8.35635,16.37891
2019,"Samoa","FEMALE",1.25293,0.5259,2.41368
2019,"Sao Tome and Principe","FEMALE",3.06458,1.3611,5.88886
2019,"Saudi Arabia","FEMALE",1.83692,0.83063,3.56748
2019,"Senegal","FEMALE",3.31781,1.40837,6.52586
2019,"Serbia","FEMALE",0.89598,0.55826,1.36739
2019,"Seychelles","FEMALE",7.39072,3.96488,12.44852
2019,"Sierra Leone","FEMALE",3.63908,1.60456,7.02143
2019,"Singapore","FEMALE",0.22387,0.17188,0.28593
2019,"Slovakia","FEMALE",0.6449,0.38887,0.99688
2019,"Slovenia","FEMALE",0.79041,0.55488,1.09928
2019,"Solomon Islands","FEMALE",1.96201,0.97621,3.58163
2019,"Somalia","FEMALE",2.62913,1.16,5.31229
2019,"South Africa","FEMALE",13.64325,8.58763,19.76125
2019,"South Sudan","FEMALE",6.36813,3.34,11.67773
2019,"South-East Asia","FEMALE",1.94768,1.37108,2.72655
2019,"Spain","FEMALE",0.39955,0.31551,0.49602
2019,"Sri Lanka","FEMALE",0.7518,0.3809,1.33927
2019,"Sudan","FEMALE",2.96242,1.20618,6.0716
2019,"Suriname","FEMALE",2.70749,1.44688,4.66445
2019,"Sweden","FEMALE",0.58299,0.48058,0.70311
2019,"Switzerland","FEMALE",0.44113,0.3454,0.55399
2019,"Syrian Arab Republic","FEMALE",1.40538,0.70242,2.50938
2019,"Tajikistan","FEMALE",0.91069,0.47336,1.58626
2019,"Thailand","FEMALE",1.2684,0.66688,2.21422
2019,"Timor-Leste","FEMALE",1.78997,0.56535,3.42111
2019,"Togo","FEMALE",4.8598,2.14424,9.32106
2019,"Tonga","FEMALE",2.15403,1.01199,4.038
2019,"Trinidad and Tobago","FEMALE",7.89502,4.9123,12.07277
2019,"Tunisia","FEMALE",1.6667,0.79075,3.09969
2019,"Turkmenistan","FEMALE",1.76272,1.17082,2.5544
2019,"Türkiye","FEMALE",1.70915,0.99989,2.76961
2019,"Uganda","FEMALE",5.6494,2.48576,10.68858
2019,"Ukraine","FEMALE",3.41384,2.45597,4.59553
2019,"United Arab Emirates","FEMALE",0.2119,0.08791,0.42032
2019,"United Kingdom of Great Britain and Northern Ireland","FEMALE",0.98317,0.90673,1.05681
2019,"United Republic of Tanzania","FEMALE",3.95176,1.86117,7.36817
2019,"United States of America","FEMALE",2.21324,2.06678,2.3588
2019,"Upper-middle-income economies","FEMALE",2.45614,1.81363,3.30759
2019,"Uruguay","FEMALE",2.7962,2.00927,3.77816
2019,"Uzbekistan","FEMALE",0.69945,0.48333,0.97808
2019,"Vanuatu","FEMALE",1.14592,0.4681,2.20613
2019,"Venezuela (Bolivarian Republic of)","FEMALE",8.73942,5.53891,12.87566
2019,"Viet Nam","FEMALE",0.42711,0.18381,0.97471
2019,"Western Pacific","FEMALE",0.81422,0.59592,1.10277
2019,"World","FEMALE",2.45329,1.60647,3.72743
2019,"Yemen","FEMALE",5.18171,2.13832,10.33156
2019,"Zambia","FEMALE",3.1878,1.51771,5.88693
2019,"Zimbabwe","FEMALE",5.25154,2.39953,9.95421
